question,option_a,option_b,option_c,option_d,correct_answer,explanation
"What is the derivative of x²?","x","2x","2","x³",B,"Power rule: d/dx(xⁿ) = nxⁿ⁻¹, so d/dx(x²) = 2x"
"What is ∫ 2x dx?","x²","x² + C","2x² + C","x + C",B,"Antiderivative of 2x is x² + C"
"What is the derivative of sin(x)?","cos(x)","-cos(x)","sin(x)","-sin(x)",A,"The derivative of sin(x) is cos(x)"
"What is lim(x→0) sin(x)/x?","0","1","∞","undefined",B,"This is a fundamental limit equal to 1"
"What is the derivative of eˣ?","xeˣ⁻¹","eˣ","eˣ + C","ln(x)",B,"The exponential function is its own derivative"
"What is ∫ 1/x dx?","x","1/x²","ln|x| + C","eˣ + C",C,"The antiderivative of 1/x is the natural log"
"What is d/dx [ln(x)]?","1/x","x","ln(x)","eˣ",A,"The derivative of ln(x) is 1/x"
"What is the second derivative of x³?","3x²","6x","x²","3x",B,"First derivative: 3x², second derivative: 6x"
"∫₀¹ 2x dx = ?","0","1","2","3",B,"∫₀¹ 2x dx = [x²]₀¹ = 1 - 0 = 1"
"What is d/dx [cos(x)]?","sin(x)","-sin(x)","cos(x)","-cos(x)",B,"The derivative of cos(x) is -sin(x)"
